id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26260293,Spacious Fitzroy North Home,114982774,Ashley,,Yarra,-37.77956,144.97959,Private room,50,1,10,2018-09-25,0.22,1,0,0,
26264893,Spacious room in South Yarra artist's haven,24027409,Michelle,,Stonnington,-37.83823,145.0002,Private room,65,4,13,2018-11-14,0.29,4,0,0,
26264982,Stylish Room in Central Carlton,118600299,Evie,,Melbourne,-37.79576,144.96841,Private room,60,1,16,2018-11-08,0.35,1,0,0,
26265423,Melbourne Room Near Melbourne Central,196147300,Keng Kiat,,Melbourne,-37.80884,144.96214,Private room,100,1,1,2018-07-07,0.02,1,0,0,
26266353,Convenient Brand New Melbourne Apartment Park View,187902518,Matthew,,Port Phillip,-37.85375,144.97996,Private room,90,11,1,2018-07-10,0.02,1,0,0,
26283025,"2 bedrooms, 2 baths car park walk to LaTrobe",38243983,Sahar,,Darebin,-37.70992,145.0487,Entire home/apt,154,2,52,2022-01-06,1.16,2,20,7,
26287777,1 Bedroom apartment next to Flagstaff gardens,94770928,Emrys,,Melbourne,-37.80857,144.95046,Entire home/apt,80,2,1,2018-07-17,0.02,1,0,0,
26289322,Private bedroom and bathroom with bathtub,81129817,Alexandra,,Yarra,-37.78241,144.97708,Private room,55,3,3,2019-06-28,0.07,1,0,0,
26305554,Brooklands Apartments West,153456879,Amber,,Yarra Ranges,-37.65464,145.51571,Entire home/apt,280,2,12,2020-02-07,0.27,2,293,0,
26306061,Adjoined Luxury 3 Bdrm Apts level 52 Next to Crown,12189664,Mark,,Melbourne,-37.82294,144.96135,Entire home/apt,928,2,21,2022-01-23,0.56,7,28,6,
26307253,Stylish Apartment in the Bustle of St. Kilda East,85439022,Kass,,Port Phillip,-37.86158,144.99843,Entire home/apt,97,2,9,2018-10-26,0.21,1,116,0,
26305587,"長期租宿
近雙學區Latrobe uni、RMIT Bundoora. 離賣場、電車約步行5 分鐘。",14309847,Madeline,,Banyule,-37.69553,145.06238,Private room,41,360,5,2020-12-08,0.13,1,0,0,
